"itemID","systemSku","defaultCost","avgCost","discountable","tax","archived","itemType","serialized","description","modelYear","upc","ean","customSku","manufacturerSku","createTime","timeStamp","publishToEcom","categoryID","taxClassID","departmentID","itemMatrixID","manufacturerID","seasonID","defaultVendorID","ItemShops","Prices"
"370","210000000370","24.64","24.64","false","true","false","default","false","AdV Simple Soup Bowl | Small","0","","","TBLTP- 10006","ASCSMP1","2015-10-05T16:24:10+00:00","2018-11-27T17:27:17+00:00","false","243","2","0","0","0","0","26","{""ItemShop"":[{""itemShopID"":""740"",""qoh"":""10"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-11-27T17:27:17+00:00"",""itemID"":""370"",""shopID"":""1""},{""itemShopID"":""741"",""qoh"":""10"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2017-06-16T16:55:13+00:00"",""itemID"":""370"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""60"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"371","210000000371","21.28","21.28","false","true","false","default","false","AdV Adelaide Saucer | Large Spheres","0","","","TBLTP- 10007","SSCADL2","2015-10-05T16:24:10+00:00","2018-11-27T18:05:22+00:00","false","243","2","0","0","0","0","26","{""ItemShop"":[{""itemShopID"":""742"",""qoh"":""5"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-11-27T18:05:22+00:00"",""itemID"":""371"",""shopID"":""1""},{""itemShopID"":""743"",""qoh"":""5"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2017-01-16T16:51:24+00:00"",""itemID"":""371"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""65"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"372","210000000372","25.76","25.76","false","true","false","default","false","AdV Colbert Saucer","0","","","TBLTP- 10008","CPBCLB3","2015-10-05T16:24:11+00:00","2018-11-27T18:07:57+00:00","false","243","2","0","0","0","0","26","{""ItemShop"":[{""itemShopID"":""744"",""qoh"":""1"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-11-27T18:07:56+00:00"",""itemID"":""372"",""shopID"":""1""},{""itemShopID"":""745"",""qoh"":""1"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-10-16T19:27:34+00:00"",""itemID"":""372"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""70"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"373","210000000373","24.64","24.64","false","true","false","default","false","AdV Colbert Dish | Small","0","","","TBLTP- 10009","CPBCLB1","2015-10-05T16:24:11+00:00","2018-11-27T17:27:22+00:00","false","243","2","0","0","0","0","26","{""ItemShop"":[{""itemShopID"":""746"",""qoh"":""3"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-11-27T17:27:21+00:00"",""itemID"":""373"",""shopID"":""1""},{""itemShopID"":""747"",""qoh"":""3"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2017-12-17T21:01:27+00:00"",""itemID"":""373"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""60"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"374","210000000374","25.76","30.4625","false","true","false","default","false","AdV JD Deep Heart Saucer","0","","","TBLTP- 10010","SSCJHN10","2015-10-05T16:24:11+00:00","2019-02-21T20:23:20+00:00","false","243","2","0","0","0","0","26","{""ItemShop"":[{""itemShopID"":""748"",""qoh"":""4"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-02-25T18:28:12+00:00"",""itemID"":""374"",""shopID"":""1""},{""itemShopID"":""749"",""qoh"":""4"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-02-25T18:28:12+00:00"",""itemID"":""374"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""75"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"376","210000000376","26.88","26.88","false","true","false","default","false","AdV JD Love Saucer","0","","","TBLTP- 10012","SSCJHN5","2015-10-05T16:24:12+00:00","2018-11-27T18:18:27+00:00","false","243","2","0","0","0","0","26","{""ItemShop"":[{""itemShopID"":""752"",""qoh"":""4"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-11-27T18:18:27+00:00"",""itemID"":""376"",""shopID"":""1""},{""itemShopID"":""753"",""qoh"":""4"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2016-05-23T20:45:31+00:00"",""itemID"":""376"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""75"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"377","210000000377","28","28","false","true","false","default","false","AdV JD Rose and Insect Saucer","0","","","TBLTP- 10013","SSCJHN2","2015-10-05T16:24:12+00:00","2019-01-06T18:53:48+00:00","false","243","2","0","0","0","0","26","{""ItemShop"":[{""itemShopID"":""754"",""qoh"":""1"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-01-06T18:53:48+00:00"",""itemID"":""377"",""shopID"":""1""},{""itemShopID"":""755"",""qoh"":""1"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-01-06T18:53:48+00:00"",""itemID"":""377"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""72"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"378","210000000378","35.84","35.84","false","true","false","default","false","AdV JD Crescent Moon Saucer","0","","","TBLTP- 10014","ASPJHN0","2015-10-05T16:24:12+00:00","2018-11-27T20:12:10+00:00","false","243","2","0","0","0","0","26","{""ItemShop"":[{""itemShopID"":""756"",""qoh"":""3"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-11-27T20:12:09+00:00"",""itemID"":""378"",""shopID"":""1""},{""itemShopID"":""757"",""qoh"":""3"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2016-04-04T18:03:37+00:00"",""itemID"":""378"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""95"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"380","210000000380","26.88","26.88","false","true","false","default","false","AdV JD Happy Plate","0","","","TBLTP- 10016","ASPJHN15","2015-10-05T16:24:13+00:00","2018-11-27T18:12:39+00:00","false","243","2","0","0","0","0","26","{""ItemShop"":[{""itemShopID"":""760"",""qoh"":""3"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-11-27T18:12:39+00:00"",""itemID"":""380"",""shopID"":""1""},{""itemShopID"":""761"",""qoh"":""3"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2017-12-20T22:21:24+00:00"",""itemID"":""380"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""75"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"381","210000000381","26.88","26.88","false","true","false","default","false","AdV Simple Soup Plate | Large","0","","","TBLTP- 10017","ASCSMP3","2015-10-05T16:24:13+00:00","2018-12-17T16:37:40+00:00","false","243","2","0","0","0","0","26","{""ItemShop"":[{""itemShopID"":""762"",""qoh"":""11"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-01-06T18:53:48+00:00"",""itemID"":""381"",""shopID"":""1""},{""itemShopID"":""763"",""qoh"":""11"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-01-06T18:53:48+00:00"",""itemID"":""381"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""75"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
